track,note,start,end
1,62,135360,135600
1,55,135360,135600
1,79,135360,135720
2,43,135360,135480
3,57,135360,135840
3,35,135360,135840
1,64,135720,135960
1,59,135720,135960
1,52,135720,135960
1,76,135720,136080
2,40,135720,135840
3,57,135840,136320
3,38,135840,136320
1,62,136080,136320
1,57,136080,136320
1,50,136080,136320
1,76,136080,136320
2,38,136080,136320
1,60,136320,137280
1,55,136320,137280
1,48,136320,137280
1,79,136320,137280
2,36,136320,137280
3,57,136320,136800
3,35,136320,136800
3,57,136800,137280
3,38,136800,137280
1,59,137280,138240
1,54,137280,138240
1,47,137280,138240
1,78,137280,138240
2,35,137280,138240
3,57,137280,137760
3,35,137280,137760
3,57,137760,138240
3,38,137760,138240
1,57,138180,138240
1,52,138180,138240
1,45,138180,138240
1,75,138180,138240
1,64,138240,138960
1,59,138240,138960
1,52,138240,138960
1,76,138240,138960
2,40,138240,138960
3,57,138240,138720
3,35,138240,138720
3,57,138720,138960
3,38,138720,138960
1,64,138960,139200
1,59,138960,139200
1,52,138960,139200
1,76,138960,139200
2,40,138960,139080
3,35,138960,139200
1,67,139200,139440
1,62,139200,139440
1,55,139200,139440
1,79,139200,139560
2,43,139200,139320
3,57,139200,139680
3,35,139200,139680
1,64,139560,139800
1,59,139560,139800
1,52,139560,139800
1,81,139560,139920
2,40,139560,139680
3,57,139680,139920
3,35,139680,139920
1,62,139920,140160
1,57,139920,140160
1,50,139920,140160
1,79,139920,140160
2,38,139920,140160
3,38,139920,140160
1,79,140160,140340
1,60,140160,140520
1,55,140160,140520
1,48,140160,140520
2,36,140160,140520
3,57,140160,140640
3,35,140160,140640
1,79,140400,140520
1,81,140520,140760
1,62,140520,140880
1,57,140520,140880
1,50,140520,140880
2,38,140520,140880
3,57,140640,141120
3,38,140640,141120
1,79,140880,141000
1,60,140880,141120
1,55,140880,141120
1,48,140880,141120
2,36,140880,141120
1,59,141120,141600
1,54,141120,141600
1,47,141120,141600
1,78,141120,142080
2,35,141120,141600
3,57,141120,141600
3,35,141120,141600
2,33,141600,142080
3,57,141600,142080
3,38,141600,142080
1,57,142020,142080
1,52,142020,142080
1,45,142020,142080
1,75,142020,142080
1,64,142080,142800
1,59,142080,142800
1,52,142080,142800
1,76,142080,142800
2,40,142080,142800
3,57,142080,142560
3,35,142080,142560
3,57,142560,143040
3,38,142560,143040
